"id";"date";"month_name";"year";"type";"country";"area";"location";"activity";"sex";"fatal"
4512;"2013-04-02";"April";2013;"Invalid";"Australia";"Western Australia";"Perth";"Not specified";"M";"Y"
4513;"2011-07-19";"July";2011;"Unprovoked";"USA";"North Carolina";"Ocracoke Island, Hyde County";"Recreational water sport";"F";"N"
4514;"2013-04-04";"April";2013;"Unprovoked";"USA";"Florida";"Jensen Beach, Martin County";"Water leisure activity";"M";"N"
4515;"2014-03-13";"March";2014;"Invalid";"Cayman Islands";"Unknown";"Unknown";"Fishing, catching, or hunting";"M";"N"
4516;"2011-07-22";"July";2011;"Unprovoked";"South Africa";"Eastern Cape Province";"Cintza Beach, East London";"Recreational water sport";"M";"N"
4517;"2013-04-10";"April";2013;"Unprovoked";"French Polynesia";"Tuamotus";"North Pass, Fakarava";"Recreational water sport";"M";"N"
4518;"2014-03-18";"March";2014;"Invalid";"Australia";"New South Wales";"Lennox Head";"Not specified";"F";"N"
4519;"2013-04-13";"April";2013;"Unprovoked";"Guam";"Unknown";"Unknown";"Not specified";"M";"Y"
4520;"2011-07-25";"July";2011;"Unprovoked";"USA";"New Jersey";"Egg Harbor, Atlantic County";"Fishing, catching, or hunting";"M";"N"
4521;"2014-03-18";"March";2014;"Unprovoked";"Australia";"Victoria";"Winkipop Beach";"Recreational water sport";"M";"N"
4522;"2011-07-30";"July";2011;"Sea Disaster";"Philippines";"Unknown";"Unknown";"Sea disaster";"M";"N"
4523;"2014-03-18";"March";2014;"Unprovoked";"New Caledonia";"Baie de Sainte-Marie";"Unknown";"Recreational water sport";"M";"N"
4524;"2011-07-31";"July";2011;"Invalid";"Brazil";"Pernambuco";"Praia do Pina";"Water leisure activity";"M";"Y"
4525;"2014-03-21";"March";2014;"Unprovoked";"USA";"Florida";"Macarthur State Park";"Recreational water sport";"M";"N"
4526;"2013-04-13";"April";2013;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4527;"2013-04-14";"April";2013;"Unprovoked";"South Africa";"Western Cape Province";"False Bay";"Water leisure activity";"M";"N"
4528;"2014-03-22";"March";2014;"Unprovoked";"USA";"Florida";"Delray Beach";"Recreational water sport";"M";"N"
4529;"2013-04-17";"April";2013;"Unprovoked";"USA";"Florida";"Near Boynton Beach, Palm Beach County";"Recreational water sport";"M";"N"
4530;"2014-03-22";"March";2014;"Unprovoked";"South Africa";"Eastern Cape Province";"Second Beach, Port St Johns";"Water leisure activity";"M";"Y"
4531;"2013-04-21";"April";2013;"Unprovoked";"Australia";"New South Wales";"Crowdy Head";"Fishing, catching, or hunting";"M";"N"
4532;"2014-03-29";"March";2014;"Invalid";"Australia";"Western Australia";"Off Dawesville Cut";"Water leisure activity";"M";"Y"
4533;"2013-04-24";"April";2013;"Unprovoked";"Mexico";"Quintana Roo";"Seagull Beach, Cancun";"Water leisure activity";"F";"N"
4534;"2011-08-01";"August";2011;"Unprovoked";"Seychelles";"Praslin";"Anse Lazio";"Water leisure activity";"M";"Y"
4535;"2013-04-28";"April";2013;"Provoked";"Australia";"New South Wales";"Emerald Beach";"Fishing, catching, or hunting";"M";"N"
4536;"2014-04-03";"April";2014;"Unprovoked";"Australia";"New South Wales";"Tathra";"Water leisure activity";"F";"Y"
4537;"2013-05-04";"May";2013;"Unprovoked";"USA";"Florida";"Melbourne Beach, Brevard County";"Recreational water sport";"M";"N"
4538;"2011-08-11";"August";2011;"Unprovoked";"USA";"North Carolina";"Beaufort Inlet";"Water leisure activity";"M";"N"
4539;"2014-04-04";"April";2014;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4540;"2011-08-15";"August";2011;"Invalid";"USA";"South Carolina";"Myrtle Beach, Horry County";"Recreational water sport";"M";"N"
4541;"2014-04-04";"April";2014;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4542;"2011-08-16";"August";2011;"Unprovoked";"Seychelles";"Praslin";"Anse Lazio";"Water leisure activity";"M";"Y"
4543;"2014-04-12";"April";2014;"Provoked";"South Africa";"Eastern Cape Province";"Port Alfred";"Fishing, catching, or hunting";"M";"N"
4544;"2011-08-16";"August";2011;"Unprovoked";"USA";"Puerto Rico";"Vieques";"Water leisure activity";"M";"N"
4545;"2014-04-12";"April";2014;"Boat";"South Africa";"Unknown";"Unknown";"Water leisure activity";"Not specified";"N"
4546;"2013-05-08";"May";2013;"Unprovoked";"Reunion";"Saint-Gilles";"Brisant Beach";"Recreational water sport";"M";"Y"
4547;"2011-08-16";"August";2011;"Unprovoked";"French Polynesia";"Society Islands";"Teahupoo, Tahiti";"Recreational water sport";"M";"N"
4548;"2013-05-08";"May";2013;"Invalid";"USA";"California";"Tourmaline Surf Park, San Diego County";"Recreational water sport";"M";"Y"
4549;"2012-07-14";"July";2012;"Unprovoked";"Australia";"Western Australia";"Off Wedge Island";"Recreational water sport";"M";"Y"
4550;"2013-05-14";"May";2013;"Unprovoked";"Ecuador";"Santa Cruz Island";"Playa Brava, Turtle Bay";"Recreational water sport";"M";"N"
4551;"2014-04-15";"April";2014;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Water leisure activity";"M";"N"
4552;"2013-05-23";"May";2013;"Provoked";"Palestinian Territories";"Unknown";"Gaza";"Fishing, catching, or hunting";"M";"N"
4553;"2012-07-19";"July";2012;"Invalid";"Canada";"British Colombia";"Tofino, Vancouver";"Recreational water sport";"F";"N"
4554;"2011-08-17";"August";2011;"Unprovoked";"Russia";"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)";"Vityaz";"Water leisure activity";"M";"N"
4555;"2014-04-22";"April";2014;"Unprovoked";"USA";"Florida";"Cocoa Beach, Brevard  County";"Water leisure activity";"M";"N"
4556;"2013-05-23";"May";2013;"Unprovoked";"Brazil";"Pernambuco";"Coral Cove Beach";"Not specified";"M";"Y"
4557;"2012-07-21";"July";2012;"Invalid";"Trinidad & Tobago";"Trinidad";"Off Radix Village, Mayoro County";"Water leisure activity";"M";"Y"
4558;"2014-04-24";"April";2014;"Unprovoked";"Australia";"Western Australia";"South Passage, south of Coral Bay";"Fishing, catching, or hunting";"M";"N"
4559;"2013-05-27";"May";2013;"Unprovoked";"USA";"Florida";"Ormond Beach, Volusia County";"Water leisure activity";"M";"N"
4560;"2012-07-23";"July";2012;"Unprovoked";"Reunion";"Trois-Bassins";"Unknown";"Recreational water sport";"M";"Y"
4561;"2011-08-17";"August";2011;"Invalid";"USA";"North Carolina";"Wrightsville Beach, New Hanover County";"Not specified";"M";"N"
4562;"2014-05-01";"May";2014;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4563;"2012-07-24";"July";2012;"Invalid";"USA";"North Carolina";"Ocean Isle, Brunswick County";"Not specified";"M";"N"
4564;"2013-05-27";"May";2013;"Unprovoked";"USA";"Hawaii";"Halewia, Oahu";"Water leisure activity";"M";"N"
4565;"2014-05-04";"May";2014;"Unprovoked";"South Africa";"Western Cape Province";"Simonstown";"Water leisure activity";"Not specified";"N"
4566;"2011-08-17";"August";2011;"Unprovoked";"USA";"North Carolina";"Kure Beach, New Hanover County";"Water leisure activity";"F";"N"
4567;"2012-07-30";"July";2012;"Unprovoked";"USA";"Massachusetts";"Ballston Beach, Truro, Cape Cod";"Recreational water sport";"M";"N"
4568;"2014-05-06";"May";2014;"Unprovoked";"USA";"South Carolina";"Coligny Beach, Hilton Head, Beaufort County";"Water leisure activity";"F";"N"
4569;"2011-08-18";"August";2011;"Unprovoked";"Russia";"Peter the Great Bay, Khasan, Primorsky Krai (Far East)";"Zheltukhin Island";"Water leisure activity";"M";"N"
4570;"2013-06-06";"June";2013;"Unprovoked";"Australia";"New South Wales";"Target Beach";"Recreational water sport";"M";"N"
4571;"2013-06-06";"June";2013;"Provoked";"USA";"Florida";"Off Snipe Point, Florida Keys, Monroe County";"Fishing, catching, or hunting";"M";"N"
4572;"2014-05-10";"May";2014;"Invalid";"USA";"Florida";"Bethel Shoals, Indian River County";"Water leisure activity";"M";"N"
4573;"2012-07-30";"July";2012;"Unprovoked";"USA";"Hawaii";"Maha‘ulepu Beach, Kauai";"Recreational water sport";"M";"N"
4574;"2011-08-23";"August";2011;"Unprovoked";"South Africa";"Western Cape Province";"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay";"Recreational water sport";"M";"Y"
4575;"2013-06-14";"June";2013;"Unprovoked";"USA";"South Carolina";"Myrtle Beach, Horry County";"Recreational water sport";"F";"N"
4576;"2014-05-11";"May";2014;"Unprovoked";"USA";"Georgia";"Tybee Island, Chatham County";"Recreational water sport";"M";"N"
4577;"2011-08-24";"August";2011;"Unprovoked";"USA";"North Carolina";"Holden Beach. Brunswick County";"Not specified";"M";"N"
4578;"2013-06-15";"June";2013;"Unprovoked";"USA";"Florida";"Atlantic Beach, Duval County";"Recreational water sport";"F";"N"
4579;"2011-08-24";"August";2011;"Unprovoked";"USA";"North Carolina";"Buxton Beach, Dare County";"Recreational water sport";"M";"N"
4580;"2014-05-13";"May";2014;"Unprovoked";"USA";"Florida";"Jacksonville Beach, Duval County";"Water leisure activity";"F";"N"
4581;"2012-07-31";"July";2012;"Unprovoked";"Australia";"South Australia";"Streaky Bay";"Recreational water sport";"M";"N"
4582;"2013-06-16";"June";2013;"Unprovoked";"South Africa";"Eastern Cape Province";"Queensberry Bay";"Recreational water sport";"M";"N"
4583;"2014-05-14";"May";2014;"Unprovoked";"Australia";"South Australia";"Elliston, Eyre Peninsula";"Recreational water sport";"M";"N"
4584;"2012-07-31";"July";2012;"Unprovoked";"USA";"California";"Topanga Beach, Los Angeles County";"Recreational water sport";"M";"N"
4585;"2012-08-04";"August";2012;"Unprovoked";"French Polynesia";"Tuamotus";"Kaukura Atoll";"Fishing, catching, or hunting";"M";"N"
4586;"2013-06-17";"June";2013;"Unprovoked";"USA";"Texas";"Surfside Beach, Brazoria County";"Water leisure activity";"M";"N"
4587;"2012-08-05";"August";2012;"Unprovoked";"Reunion";"Saint Leu";"Unknown";"Recreational water sport";"M";"N"
4588;"2013-06-18";"June";2013;"Unprovoked";"USA";"Hawaii";"Kona Coast State Park";"Water leisure activity";"M";"N"
4589;"2014-05-15";"May";2014;"Unprovoked";"USA";"Florida";"Juan Ponce de León Landing, Melbourne Beach, Brevard County";"Recreational water sport";"F";"N"
4590;"2012-08-09";"August";2012;"Unprovoked";"USA";"Florida";"Key Largo";"Water leisure activity";"M";"N"
4591;"2012-08-11";"August";2012;"Boat";"Australia";"Western Australia";"Ocean Reef";"Fishing, catching, or hunting";"Not specified";"N"
4592;"2014-05-22";"May";2014;"Provoked";"Australia";"New South Wales";"The Australian Shark and Ray Centre";"Irresponsible or dangerous behavior with sharks";"M";"N"
4593;"2014-05-23";"May";2014;"Unprovoked";"France";"Wallis and Futuna";"Wallis Island";"Water leisure activity";"M";"N"
4594;"2014-05-27";"May";2014;"Unprovoked";"Australia";"Queensland";"Nerang River near Chevron Island";"Accidents involving falling overboard from a vessel";"F";"N"
4595;"2012-08-15";"August";2012;"Unprovoked";"USA";"Alabama";"Gulf Shores, Baldwin County";"Water leisure activity";"M";"N"
4596;"2014-09-09";"September";2014;"Unprovoked";"Australia";"New South Wales";"Clarkes Beach, Byron Bay";"Water leisure activity";"M";"Y"
4597;"2014-06-01";"June";2014;"Unprovoked";"USA";"Palmyra Atoll";"Unknown";"Fishing, catching, or hunting";"F";"N"
4598;"2014-09-13";"September";2014;"Invalid";"USA";"California";"Manresa State Beach, Santa Cruz County";"Recreational water sport";"M";"N"
4599;"2014-06-01";"June";2014;"Unprovoked";"Australia";"New South Wales";"Seven Mile Beach, Gerroa";"Recreational water sport";"M";"N"
4600;"2014-09-13";"September";2014;"Unprovoked";"French Polynesia";"Moorea";"Tiahura Lagoon";"Fishing, catching, or hunting";"F";"N"
4601;"2014-09-21";"September";2014;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4602;"2014-06-01";"June";2014;"Unprovoked";"USA";"Florida";"Fort Lauderdale";"Water leisure activity";"F";"N"
4603;"2014-10-02";"October";2014;"Unprovoked";"Australia";"Western Australia";"Kelpids Beach, Wylie Bay, Esperance";"Recreational water sport";"M";"N"
4604;"2014-10-02";"October";2014;"Unprovoked";"USA";"California";"Walls Beach, Vandenberg AFB, Santa Barbara County";"Recreational water sport";"M";"N"
4605;"2014-06-07";"June";2014;"Unprovoked";"USA";"Texas";"West Beach, Galveston";"Water leisure activity";"F";"N"
4606;"2014-10-03";"October";2014;"Boat";"USA";"California";"Santa Barbara County";"Recreational water sport";"M";"N"
4607;"2014-06-08";"June";2014;"Unprovoked";"Japan";"Atsumi peninsula";"Aichi";"Recreational water sport";"M";"N"
4608;"2014-06-09";"June";2014;"Unprovoked";"Australia";"South Australia";"Parsons Beach,  Fleurieu Peninsula";"Recreational water sport";"M";"N"
4609;"2014-06-09";"June";2014;"Unprovoked";"USA";"Delaware";"Cape Henlopen State Park, Sussex County";"Water leisure activity";"M";"N"
4610;"2014-10-03";"October";2014;"Boat";"USA";"California";"Santa Barbara County";"Recreational water sport";"M";"N"
4611;"2014-06-09";"June";2014;"Unprovoked";"Brazil";"Unknown";"Unknown";"Fishing, catching, or hunting";"M";"N"
4612;"2014-10-05";"October";2014;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4613;"2014-10-05";"October";2014;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
4614;"2014-06-17";"June";2014;"Provoked";"Australia";"Western Australia";"Horizontal Falls";"Irresponsible or dangerous behavior with sharks";"M";"N"
4615;"2014-10-07";"October";2014;"Unprovoked";"USA";"Florida";"Cherie Down Park, Brevard County";"Fishing, catching, or hunting";"F";"N"
4616;"2014-06-18";"June";2014;"Unprovoked";"Australia";"South Australia";"Middleton Point, Fleurieu Peninsula";"Recreational water sport";"M";"N"
4617;"2014-10-11";"October";2014;"Boat";"Australia";"Western Australia";"Castle Rock, north of Dunsborough";"Recreational water sport";"M";"N"
4618;"2014-10-12";"October";2014;"Unprovoked";"USA";"Florida";"Melbourne Beach, Brevard County";"Recreational water sport";"F";"N"
4619;"2014-10-14";"October";2014;"Unprovoked";"USA";"South Carolina";"Hilton Head Island, Beaufort County";"Water leisure activity";"F";"N"
4620;"2014-10-17";"October";2014;"Unprovoked";"Australia";"New South Wales";"Avoca Beach";"Recreational water sport";"F";"N"
4621;"2014-10-18";"October";2014;"Unprovoked";"USA";"Hawaii";"Maalaea, South Maui";"Recreational water sport";"M";"N"
4622;"2014-10-19";"October";2014;"Boat";"USA";"California";"Leadbetter Beach, Santa Barbara County";"Recreational water sport";"F";"N"
4623;"2014-10-20";"October";2014;"Unprovoked";"USA";"Hawaii";"Kahului, Maui";"Recreational water sport";"M";"N"
4624;"2013-06-25";"June";2013;"Unprovoked";"USA";"South Carolina";"Kiawah Island, Charleston County";"Water leisure activity";"M";"N"
4625;"2013-06-25";"June";2013;"Unprovoked";"USA";"Florida";"Jacksonville, Duval County";"Water leisure activity";"M";"N"
4626;"2014-10-22";"October";2014;"Unprovoked";"USA";"Hawaii";"Kihei, Maui";"Recreational water sport";"F";"N"
4627;"2013-06-25";"June";2013;"Unprovoked";"USA";"California";"Pacific State , San Mateo County";"Fishing, catching, or hunting";"M";"N"
4628;"2014-10-30";"October";2014;"Provoked";"Australia";"New South Wales";"Wallabi Point";"Recreational water sport";"M";"N"
4629;"2013-06-27";"June";2013;"Invalid";"Jamaica";"Kingston Parish";"Port Royal";"Not specified";"M";"Y"
4630;"2014-10-31";"October";2014;"Unprovoked";"USA";"Hawaii";"North Kohala, Hawaii County";"Recreational water sport";"F";"N"
4631;"2013-06-30";"June";2013;"Unprovoked";"Taiwan";"Taitung";"Unknown";"Fishing, catching, or hunting";"M";"N"
4632;"2014-11-08";"November";2014;"Unprovoked";"USA";"Florida";"Fort Pierce Inlet State Park, St. Lucie County";"Recreational water sport";"M";"N"
4633;"2013-07-02";"July";2013;"Unprovoked";"Australia";"Victoria";"Flinders, Mornington Penisula";"Recreational water sport";"M";"N"
4634;"2014-11-10";"November";2014;"Unprovoked";"Australia";"New South Wales";"Moonee Beach";"Recreational water sport";"M";"N"
4635;"2013-07-09";"July";2013;"Invalid";"Spain";"Catalonia";"Sant Marti d’Empuries Beach, L’Escala";"Water leisure activity";"M";"N"
4636;"2014-11-13";"November";2014;"Unprovoked";"USA";"Hawaii";"Airplane Beach, Lahina, West Maui";"Water leisure activity";"M";"N"
4637;"2014-11-16";"November";2014;"Unprovoked";"USA";"Florida";"Indian Harbor Beach, Brevard County";"Recreational water sport";"M";"N"
4638;"2014-11-17";"November";2014;"Boat";"USA";"California";"Franklin Point, San Mateo County";"Not specified";"Not specified";"N"
4639;"2014-11-19";"November";2014;"Boat";"Australia";"Western Australia";"Freo";"Fishing, catching, or hunting";"M";"N"
4640;"2014-11-20";"November";2014;"Provoked";"Mauritius";"Cargados Carajos Shoals (St. Brandon)";"Unknown";"Fishing, catching, or hunting";"M";"Y"
4641;"2014-11-29";"November";2014;"Unprovoked";"Australia";"Western Australia";"Pyramids Beach, Port Bouvard";"Recreational water sport";"M";"N"
4642;"2014-12-03";"December";2014;"Provoked";"Spain";"Granada";"Off Motril";"Fishing, catching, or hunting";"M";"N"
4643;"2014-12-15";"December";2014;"Unprovoked";"Australia";"Queensland";"Rudder Reef";"Fishing, catching, or hunting";"M";"Y"
4644;"2014-12-23";"December";2014;"Unprovoked";"Japan";"Unknown";"Unknown";"Water leisure activity";"M";"N"
4645;"2014-12-28";"December";2014;"Provoked";"Australia";"Victoria";"Paradise Beach";"Fishing, catching, or hunting";"M";"N"
4646;"2014-12-28";"December";2014;"Unprovoked";"USA";"California";"Montaña de Oro State Park, San Luis Obispo County";"Recreational water sport";"M";"N"
4647;"2014-12-28";"December";2014;"Invalid";"South Africa";"KwaZulu-Natal";"Durban";"Water leisure activity";"Not specified";"N"
4648;"2014-12-28";"December";2014;"Sea Disaster";"Greece";"Unknown";"Unknown";"Not specified";"Not specified";"N"
4649;"2014-12-29";"December";2014;"Unprovoked";"Australia";"Western Australia";"Three Stripes near Cheynes Beach";"Fishing, catching, or hunting";"M";"Y"
4650;"2014-12-29";"December";2014;"Unprovoked";"Australia";"New South Wales";"Bherwerre Beach";"Recreational water sport";"Not specified";"N"
4651;"2015-01-01";"January";2015;"Unprovoked";"USA";"Florida";"Windsor Beach, Indian River County";"Not specified";"M";"N"
